EventCount;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s234;s567;s8910;s99
1;3;100.88373369824464;13.18990117568235;0.80863193851547;98.95605582190358;17.189901175682348;0.80863193851547;78.82225065109276;13.28182530596673;0.817744703348067;918.7962990719311;1174.5521531347551;715.9441506971451;716.1615453441633
2;2;101.12603343941544;12.929118227478728;0.76123829034388;99.36756145093082;16.886767520660207;0.7726078955656;79.44770415473327;12.929118227478728;0.76123829034388;946.585550070356;1201.601475601333;743.6665533231896;1201.7793760452162
3;2;101.26554044640704;12.641760697863997;0.9333610569240874;99.79942241612716;16.504072198481232;0.9365343399277024;79.9372130654706;12.641760697863997;0.9333610569240874;761.8784777580869;976.0419346515798;601.4132935850582;976.1705618818555
4;3;101.29683912862977;12.36757366166351;1.166751360447058;100.2910512424923;16.36757366166351;1.166751360447058;80.30331036129579;12.261137541065965;1.158810819473388;492.52527759172796;645.3489571723223;394.2668546290318;394.35030384378103
5;3;101.22794609937588;12.141286616960137;1.246831232188302;100.44389208940714;16.141286616960137;1.246831232188302;80.28522504481322;12.163959753569877;1.235077363988859;391.23691172720214;516.1029808596418;321.7344644948881;321.78887355946733
6;3;101.07852793479881;11.986634494975739;1.0999756073761695;100.42122899283957;15.986634494975739;1.0999756073761695;80.33432097296924;12.117571311556295;1.0952148641677804;549.5994845065348;728.2369711729942;445.7025401809257;445.7519254969363
7;1;100.99526362035718;12.031232630082648;0.867812257336688;100.3228039640042;15.912414838849374;0.861202870203523;80.3228039640042;11.912414838849374;0.861202870203523;785.5570873991915;1040.0808797107384;623.4046364409847;785.627650028018
8;1;100.65064487597155;11.90874542505236;0.761942451495236;100.27429749770022;15.91128718846992;0.750039574069998;80.27429749770022;11.91128718846992;0.750039574069998;867.1994150610334;1167.3615349472548;699.5933069422547;867.3134008188604
9;1;100.31734401352271;11.839959445810448;0.874941657890431;100.36831534288373;15.961523878314681;0.868688740784953;80.36831534288373;11.961523878314681;0.868688740784953;761.3993102737182;1034.6370078472244;620.8524487648228;761.5695902202094
10;1;100.12906083986051;11.902565623027254;1.10291892728507;100.62026606856709;16.03138694599687;1.108064873649324;80.62026606856709;12.031386945996871;1.108064873649324;537.4899624057385;720.0702705812295;432.9903767080297;537.7163696461029
11;1;100.10740029337964;12.067689872842076;1.236273009568767;100.95830146796264;16.08533035602878;1.248086660047205;80.95830146796264;12.08533035602878;1.248086660047205;396.6306503483058;515.0147151381713;310.28982346578584;396.898788971209
